psgcCode,psgcOldCode,citymunDesc,regCode,provCode,citymunCode
1380100000,137501000,City of Caloocan,13,13801,1380100
1380200000,137601000,City of Las Piñas,13,13802,1380200
1380300000,137602000,City of Makati,13,13803,1380300
1380400000,137502000,City of Malabon,13,13804,1380400
1380500000,137401000,City of Mandaluyong,13,13805,1380500
1380600000,133900000,City of Manila,13,13806,1380600
1380601000,133901000,Tondo I/II,13,13806,1380601
1380602000,133902000,Binondo,13,13806,1380602
1380603000,133903000,Quiapo,13,13806,1380603
1380604000,133904000,San Nicolas,13,13806,1380604
1380605000,133905000,Santa Cruz,13,13806,1380605
1380606000,133906000,Sampaloc,13,13806,1380606
1380607000,133907000,San Miguel,13,13806,1380607
1380608000,133908000,Ermita,13,13806,1380608
1380609000,133909000,Intramuros,13,13806,1380609
1380610000,133910000,Malate,13,13806,1380610
1380611000,133911000,Paco,13,13806,1380611
1380612000,133912000,Pandacan,13,13806,1380612
1380613000,133913000,Port Area,13,13806,1380613
1380614000,133914000,Santa Ana,13,13806,1380614
1380700000,137402000,City of Marikina,13,13807,1380700
1380800000,137603000,City of Muntinlupa,13,13808,1380800
1380900000,137503000,City of Navotas,13,13809,1380900
1381000000,137604000,City of Parañaque,13,13810,1381000
1381100000,137605000,Pasay City,13,13811,1381100
1381200000,137403000,City of Pasig,13,13812,1381200
1381300000,137404000,Quezon City,13,13813,1381300
1381400000,137405000,City of San Juan,13,13814,1381400
1381500000,137607000,City of Taguig,13,13815,1381500
1381600000,137504000,City of Valenzuela,13,13816,1381600
1381701000,137606000,Pateros,13,13817,1381701
1400101000,140101000,Bangued ,14,14001,1400101
1400102000,140102000,Boliney,14,14001,1400102
1400103000,140103000,Bucay,14,14001,1400103
1400104000,140104000,Bucloc,14,14001,1400104
1400105000,140105000,Daguioman,14,14001,1400105
1400106000,140106000,Danglas,14,14001,1400106
1400107000,140107000,Dolores,14,14001,1400107
1400108000,140108000,La Paz,14,14001,1400108
1400109000,140109000,Lacub,14,14001,1400109
1400110000,140110000,Lagangilang,14,14001,1400110
1400111000,140111000,Lagayan,14,14001,1400111
1400112000,140112000,Langiden,14,14001,1400112
1400113000,140113000,Licuan-Baay,14,14001,1400113
1400114000,140114000,Luba,14,14001,1400114
1400115000,140115000,Malibcong,14,14001,1400115
1400116000,140116000,Manabo,14,14001,1400116
1400117000,140117000,Peñarrubia,14,14001,1400117
1400118000,140118000,Pidigan,14,14001,1400118
1400119000,140119000,Pilar,14,14001,1400119
1400120000,140120000,Sallapadan,14,14001,1400120
1400121000,140121000,San Isidro,14,14001,1400121
1400122000,140122000,San Juan,14,14001,1400122
1400123000,140123000,San Quintin,14,14001,1400123
1400124000,140124000,Tayum,14,14001,1400124
1400125000,140125000,Tineg,14,14001,1400125
1400126000,140126000,Tubo,14,14001,1400126
1400127000,140127000,Villaviciosa,14,14001,1400127
1401101000,141101000,Atok,14,14011,1401101
1401103000,141103000,Bakun,14,14011,1401103
1401104000,141104000,Bokod,14,14011,1401104
1401105000,141105000,Buguias,14,14011,1401105
1401106000,141106000,Itogon,14,14011,1401106
1401107000,141107000,Kabayan,14,14011,1401107
1401108000,141108000,Kapangan,14,14011,1401108
1401109000,141109000,Kibungan,14,14011,1401109
1401110000,141110000,La Trinidad ,14,14011,1401110
1401111000,141111000,Mankayan,14,14011,1401111
1401112000,141112000,Sablan,14,14011,1401112
1401113000,141113000,Tuba,14,14011,1401113
1401114000,141114000,Tublay,14,14011,1401114
1402701000,142701000,Banaue,14,14027,1402701
1402702000,142702000,Hungduan,14,14027,1402702
1402703000,142703000,Kiangan,14,14027,1402703
1402704000,142704000,Lagawe ,14,14027,1402704
1402705000,142705000,Lamut,14,14027,1402705
1402706000,142706000,Mayoyao,14,14027,1402706
1402707000,142707000,Alfonso Lista,14,14027,1402707
1402708000,142708000,Aguinaldo,14,14027,1402708
1402709000,142709000,Hingyon,14,14027,1402709
1402710000,142710000,Tinoc,14,14027,1402710
1402711000,142711000,Asipulo,14,14027,1402711
1403201000,143201000,Balbalan,14,14032,1403201
1403206000,143206000,Lubuagan,14,14032,1403206
1403208000,143208000,Pasil,14,14032,1403208
1403209000,143209000,Pinukpuk,14,14032,1403209
1403211000,143211000,Rizal,14,14032,1403211
1403213000,143213000,City of Tabuk ,14,14032,1403213
1403214000,143214000,Tanudan,14,14032,1403214
1403215000,143215000,Tinglayan,14,14032,1403215
1404401000,144401000,Barlig,14,14044,1404401
1404402000,144402000,Bauko,14,14044,1404402
1404403000,144403000,Besao,14,14044,1404403
1404404000,144404000,Bontoc ,14,14044,1404404
